Data Series,TotalFertilityRate(PerFemale),15to19Years(PerThousandFemales),20to24Years(PerThousandFemales),25to29Years(PerThousandFemales),30to34Years(PerThousandFemales),35to39Years(PerThousandFemales),40to44Years(PerThousandFemales),45to49Years(PerThousandFemales),Chinese(PerFemale),Malays(PerFemale),Indians(PerFemale),GrossReproductionRate(PerFemale),NetReproductionRate(PerFemale),CrudeBirthRate(PerThousandResidents),TotalLivetoBirths(Number),ResidentLivetoBirths(Number),AllItems,Food,Clothing&Footwear,Housing&Utilities,HouseholdDurables&Services,HouseholdServices&Supplies,HealthCare,Transport,PrivateTransport,PublicTransport,OtherTransportServices,Communication,Recreation&Culture,Education,MiscellaneousGoods&Services,PersonalCare,AlcoholicDrinks&Tobacco,PersonalEffects,AllItemsLessImputedRentalsOnOwnertoOccupiedAccommodation,AllItemsLessAccommodation,TotalFemales,25to29Years,30to34Years,35to39Years,40to44Years,45to49Years,TotalFemalestoBelowSecondary,B.Secto25to29Years,B.Secto30to34Years,B.Secto35to39Years,B.Secto40to44Years,B.Secto45to49Years,TotalFemalestoSecondary,Sec25to29Years,Sec30to34Years,Sec35to39Years,Sec40to44Years,Sec45to49Years,TotalFemalestoPostSecondary(NontoTertiary),P.Sec25to29Years,P.Sec30to34Years,P.Sec35to39Years,P.Sec40to44Years,P.Sec45to49Years,TotalFemalestoDiploma&ProfessionalQualification,Diploma25to29Years,Diploma30to34Years,Diploma35to39Years,Diploma40to44Years,Diploma45to49Years,TotalFemalestoUniversity,University25to29Years,University30to34Years,University35to39Years,University40to44Years,University45to49Years,SingaporeResidents,0Year,1Year,2Year,3Year,4Year,5Year,6Year,7Year,8Year,9Year,10Year,11Year,12Year,13Year,14Year,15Year,16Year,17Year,18Year,19Year,20Year,21Year,22Year,23Year,24Year,25Year,26Year,27Year,28Year,29Year,30Year,31Year,32Year,33Year,34Year,35Year,36Year,37Year,38Year,39Year,40Year,41Year,42Year,43Year,44Year,45Year,46Year,47Year,48Year,49Year,50Year,51Year,52Year,53Year,54Year,55Year,56Year,57Year,58Year,59Year,60Year,61Year,62Year,63Year,64Year,65Year,66Year,67Year,68Year,69Year,70Year,71Year,72Year,73Year,74Year,75Year,76Year,77Year,78Year,79Year,80Year,81Year,82Year,83Year,84Year,85Year,86Year,87Year,88Year,89Year,65Years&Over,70Years&Over,75Years&Over,80Years&Over,85Years&Over,90Years&Over,MaleGeneralMarriageRate(Per1000UnmarriedResidentMalesOrFemalesAged15to49Years),15to19Years(Per1000UnmarriedResidentMales),20to24Years(Per1000UnmarriedResidentMales),25to29Years(Per1000UnmarriedResidentMales),30to34Years(Per1000UnmarriedResidentMales),35to39Years(Per1000UnmarriedResidentMales),40to44Years(Per1000UnmarriedResidentMales),45to49Years(Per1000UnmarriedResidentMales),50to54Years(Per1000UnmarriedResidentMales),55to59Years(Per1000UnmarriedResidentMales),60to64Years(Per1000UnmarriedResidentMales),65Years&Over(Per1000UnmarriedResidentMales),FemaleGeneralMarriageRate(Per1000UnmarriedResidentMalesOrFemalesAged15to49Years),15to19Years(Per1000UnmarriedResidentFemales),20to24Years(Per1000UnmarriedResidentFemales),25to29Years(Per1000UnmarriedResidentFemales),30to34Years(Per1000UnmarriedResidentFemales),35to39Years(Per1000UnmarriedResidentFemales),40to44Years(Per1000UnmarriedResidentFemales),45to49Years(Per1000UnmarriedResidentFemales),50to54Years(Per1000UnmarriedResidentFemales),55to59Years(Per1000UnmarriedResidentFemales),60to64Years(Per1000UnmarriedResidentFemales),65Years&Over(Per1000UnmarriedResidentFemales),CrudeMarriageRate(Per1000Residents)
2022,1.05,2.1,11.3,49.1,87.1,49.5,9.8,0.4,0.87,1.83,1.01,na,na,8,35724,32417,108.37,108.813,93.416,106.406,103.842,103.286,101.746,125.793,130.958,112.37,113.6,98.896,103.484,102.747,98.739,100.14,100.16,97.16,108.705,108.992,1606500,110300,156100,162400,179400,179300,369800,2200,4200,8300,11000,18500,271500,5300,10900,14100,20000,26600,147700,7900,9700,12200,10100,14600,265100,26300,32200,35500,43800,42700,552400,68500,99100,92400,94600,76900,"4,073,239","32,073","33,844","37,319","37,204","37,645","38,874","40,700","41,162","39,490","41,134","40,334","38,083","40,099","41,087","42,776","41,460","41,108","40,749","40,553","42,879","43,446","48,170","47,038","45,387","49,262","51,256","53,934","56,042","58,902","59,948","60,496","64,199","62,107","67,676","62,675","55,025","57,182","59,570","57,733","61,471","61,640","60,949","59,884","59,861","57,537","60,965","58,639","59,117","61,591","64,005","61,668","60,268","56,670","56,306","58,072","57,911","60,812","59,882","61,357","59,873","58,756","58,595","58,028","57,190","55,438","54,426","51,968","49,346","47,904","44,286","41,588","38,742","38,347","36,268","33,639","32,610","21,370","16,222","19,460","16,130","15,585","17,265","16,142","14,669","11,276","8,731","8,252","8,485","6,930","5,550","678,133","430,203","241,619","135,827","60,890","22,942",45.3,0.3,8.6,72.2,120.6,81,47.8,27,16.1,11.3,7.1,2.9,44.2,1.1,18.8,100.9,106.4,49,19.2,9.5,6.8,2.8,1.7,0.3,6.5
2021,1.12,2.2,11.7,53.4,92.9,53.6,10.2,0.3,0.96,1.82,1.05,0.54,0.54,8.6,38672,34183,102.119,103.326,90.845,101.1,101.766,101.894,99.579,108.055,109.898,104.895,100.839,100.095,99.228,100.633,98.282,98.496,98.947,96.432,102.128,102.197,1547300,129200,170600,160300,161400,154500,362700,2800,4300,5800,9700,16400,281300,5700,10900,15400,18800,29100,130000,8800,12100,11100,10600,13000,239000,28500,35000,34400,37100,32700,534200,83500,108400,93600,85100,63300,"3,986,842","31,611","36,172","36,092","36,644","37,916","39,696","40,256","38,767","40,395","39,646","37,513","39,485","40,383","42,046","40,566","40,280","39,954","39,564","42,068","43,047","47,963","46,755","44,834","48,338","49,830","51,948","53,792","56,547","57,514","58,236","61,866","60,002","65,456","60,559","53,177","55,400","57,756","56,128","59,856","60,081","59,496","58,569","58,580","56,334","59,791","57,552","58,103","60,627","63,013","60,830","59,488","55,994","55,655","57,517","57,308","60,146","59,354","60,883","59,501","58,342","58,272","57,701","57,013","55,327","54,299","51,876","49,377","47,946","44,429","41,763","38,931","38,621","36,635","34,026","33,113","21,754","16,549","19,950","16,576","16,149","17,915","16,836","15,514","11,942","9,348","8,952","9,291","7,661","6,323","5,441","639,008","403,617","222,291","131,313","59,758","22,090",35.7,0.4,7.9,59.1,97.3,65,36.9,23.2,14.9,9.5,6,2.6,34.9,1.2,16.7,79.9,81.6,39.9,17.3,9.1,5.6,2.6,1.3,0.2,5.2
2020,1.1,2.3,12.7,54.6,90.8,49,9.5,0.5,0.94,1.82,0.96,0.53,0.53,8.5,38590,34233,99.818,101.862,96.16,99.714,100.285,100.507,98.463,99.27,98.641,103.075,96.935,100.681,98.21,99.37,98.823,99.947,99.024,94.88,99.683,99.657,1564900,140200,155800,158600,159100,160700,433400,3900,6600,10300,13800,22500,269300,7400,11000,15300,18500,27800,138800,10900,11300,11900,11800,17500,226700,31000,32200,33500,36300,32200,496600,86900,94600,87600,78600,60700,"4,044,210","33,434","35,585","36,387","37,823","39,847","40,464","39,002","40,966","40,230","38,075","40,154","41,149","42,817","41,273","41,000","40,775","40,367","42,412","43,232","48,448","47,492","45,740","49,102","50,210","51,993","53,526","56,169","57,135","58,174","61,993","60,338","66,176","61,327","53,850","56,107","58,702","57,119","61,119","61,494","61,081","60,080","60,227","58,093","61,660","59,231","59,925","62,527","64,961","62,836","61,491","57,874","57,508","59,381","59,138","62,167","61,316","62,966","61,377","60,069","60,102","59,469","58,696","57,023","55,948","53,490","50,893","49,409","45,852","43,078","40,164","39,934","37,916","35,297","34,247","22,614","17,196","20,753","17,302","16,902","18,837","17,766","16,424","12,695","9,990","9,638","10,131","8,362","6,986","6,073","5,034","614,368","384,972","214,964","123,974","57,461","20,875",40.7,0.5,7.9,65.8,109.8,90.3,53.4,33.1,20.6,15.8,11.4,4.1,37.9,1.2,16.4,88.6,95.5,46.8,21.4,11,6.5,3.4,1.5,0.3,5.9
2019,1.14,2.5,12.7,59.4,92.4,50.1,9.9,0.4,0.99,1.8,0.98,0.56,0.56,8.8,39279,35330,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1527800,125700,143700,160000,163300,166600,426500,4000,6200,9500,16200,22700,282800,8000,12000,17400,22400,31800,122400,8400,10900,10400,11200,17600,225700,28000,30700,34300,35500,33200,470500,77400,83800,88300,78000,61200,"4,026,209","32,967","35,454","37,267","39,428","40,239","38,675","40,817","40,079","38,047","40,157","41,315","42,981","41,510","41,233","40,887","40,669","42,557","43,128","48,341","47,527","45,880","49,141","50,013","51,433","52,612","54,848","55,958","56,940","60,921","59,527","65,537","60,724","53,182","55,603","58,400","56,905","60,997","61,516","61,159","60,241","60,509","58,334","61,968","59,620","60,332","62,896","65,365","63,186","61,900","58,335","57,863","59,799","59,594","62,673","61,753","63,544","61,963","60,573","60,659","60,020","59,265","57,566","56,532","54,033","51,432","49,966","46,445","43,621","40,724","40,540","38,506","35,932","34,933","23,130","17,626","21,317","17,819","17,443","19,504","18,517","17,200","13,378","10,599","10,263","10,853","9,032","7,637","6,704","5,593","4,969","581,680","360,384","210,257","115,657","53,364","19,429",43.3,0.3,9,74.6,120.3,91.7,52.3,33.3,22.2,15.9,10.7,3.8,40.8,1.2,18.4,99.8,100,48,22,12.1,6.3,2.8,1.5,0.2,6.4
2018,1.14,2.5,14.4,60.6,92.9,48.4,8.8,0.5,0.98,1.85,1,0.56,0.55,8.8,39039,35040,99.438,98.498,100.777,101.003,99.227,98.555,98.905,99.235,99.68,97.584,99.261,100.924,98.948,97.661,99.635,99.298,99.57,100.58,99.098,99.067,1500500,130100,138900,161600,161600,162100,441500,4800,7300,10700,16300,27000,285600,10000,13500,17200,23700,35900,117600,10100,10300,10000,11900,16500,215400,29200,28700,37300,36200,29600,440400,76000,79000,86300,73500,53200,"3,994,283","32,664","36,123","38,787","39,727","38,227","40,338","39,717","37,865","39,996","41,150","42,912","41,406","41,060","40,808","40,344","42,479","43,014","47,986","47,258","45,783","49,185","49,961","50,987","51,758","53,625","54,602","55,345","59,374","58,092","64,218","59,750","52,459","54,948","57,809","56,431","60,668","61,266","61,025","60,243","60,518","58,334","62,114","59,650","60,449","63,093","65,570","63,406","62,097","58,577","58,188","60,076","59,890","63,018","62,091","63,890","62,386","60,982","61,000","60,376","59,646","57,982","56,925","54,506","51,866","50,409","46,868","44,043","41,162","41,040","38,988","36,520","35,584","23,585","18,057","21,800","18,248","17,911","20,150","19,219","17,799","13,998","11,113","10,816","11,542","9,634","8,254","7,257","6,152","5,504","4,824","547,854","335,753","200,207","106,880","49,777","17,786",45.7,0.4,9.3,81.7,130.1,90.9,59.8,37.1,24.4,16.1,10.6,3.9,42.8,1.5,19.8,108.8,101.6,51.2,22.4,12,5.6,2.9,1.3,0.2,6.6
2017,1.16,2.6,15.1,62.2,93.3,48.6,9,0.5,1.01,1.82,1,0.56,0.56,8.9,39615,35444,99.004,97.104,99.345,102.372,98.45,97.125,96.924,99.756,100.279,98.612,97.779,101.951,97.781,94.924,98.67,99.423,94.8,101.139,97.85,97.742,1482600,124000,140000,161400,165200,162600,464700,4200,6800,11600,19100,28100,271900,9400,13200,19700,27700,35400,118200,8400,9800,11100,13900,17300,207300,29700,28600,34400,35500,30400,420500,72200,81500,84600,68900,51400,"3,965,796","33,374","37,714","39,002","37,738","39,825","39,291","37,574","39,756","41,068","42,886","41,480","41,125","40,866","40,420","42,362","43,100","47,988","47,144","45,663","49,078","49,982","51,002","51,534","53,056","53,498","53,986","57,887","56,782","62,843","58,700","51,609","54,228","57,228","55,949","60,326","61,047","60,864","60,143","60,537","58,365","62,251","59,723","60,591","63,218","65,701","63,668","62,324","58,744","58,402","60,319","60,219","63,296","62,380","64,205","62,714","61,276","61,336","60,745","59,988","58,333","57,339","54,871","52,319","50,862","47,260","44,489","41,568","41,445","39,440","37,027","36,127","23,995","18,428","22,279","18,665","18,403","20,707","19,863","18,442","14,538","11,642","11,366","12,214","10,232","8,887","7,862","6,728","6,036","5,389","4,466","516,692","312,723","193,229","101,276","46,935","16,454",44.4,0.4,9.2,78.2,131.2,88.8,58.3,35.5,21.4,14.5,12.5,4,41.6,1.7,19.9,106.8,105.8,48.9,21.3,11.7,5.5,2.4,1.4,0.2,6.6
2016,1.2,2.7,17,65.8,96.2,49.7,8.8,0.3,1.07,1.8,1.04,0.58,0.58,9.4,41251,36875,98.436,95.759,98.744,105.034,97.419,94.911,94.566,97.228,96.197,100.807,97.781,101.387,97.462,92.145,98.53,100.405,94.528,98.802,96.202,95.971,1460600,130700,142300,150700,160300,156500,469900,5100,7800,12600,20700,31900,281800,10400,14300,18500,30600,37800,110600,9400,8600,9400,13400,17400,199700,28900,31500,33600,33600,25500,398700,76900,80200,76600,62100,43800,"3,933,559","34,640","37,740","36,905","39,141","38,734","37,071","39,391","40,893","42,721","41,433","41,078","40,810","40,324","42,373","42,910","48,025","47,124","45,567","49,067","49,988","51,111","51,652","52,752","52,673","52,666","56,188","55,031","61,112","57,195","50,462","53,204","56,530","55,306","59,811","60,693","60,675","60,044","60,522","58,416","62,341","59,810","60,665","63,367","65,813","63,790","62,487","58,992","58,594","60,596","60,514","63,657","62,675","64,597","63,039","61,630","61,714","61,151","60,295","58,680","57,751","55,254","52,720","51,278","47,695","44,906","42,023","41,908","39,897","37,493","36,699","24,362","18,785","22,706","19,089","18,854","21,238","20,456","19,056","15,079","12,126","11,869","12,849","10,863","9,511","8,464","7,300","6,647","5,933","4,998","4,208","487,570","289,550","185,754","97,799","44,243","15,157",44.2,0.6,10.1,76.4,132.5,90.6,54.6,36.3,23.4,17.3,12.5,4,41.1,1.7,20.9,107.2,106.5,48.2,21.1,10.4,6.7,2.6,1.3,0.2,6.7
2015,1.24,2.7,18.7,68.7,98.5,49.9,8.9,0.4,1.1,1.79,1.15,0.6,0.6,9.7,42185,37861,98.963,93.833,98.528,109.499,95.689,92.38,93.56,99.62,99.222,100.906,100.085,101.766,96.573,89.395,98.284,100.359,94.347,97.443,95.944,95.658,1434900,121700,143100,159700,164100,154900,454900,4900,7700,12000,20600,32500,291800,10600,16500,22900,31900,40300,113200,9000,9800,11700,16300,17900,200200,30000,32400,35300,34500,25100,374800,67200,76800,77700,60800,39100,"3,902,690","34,559","35,919","38,394","38,108","36,595","38,878","40,551","42,589","41,338","41,096","40,813","40,316","42,360","42,993","47,906","47,181","45,547","49,005","49,987","51,182","51,683","52,925","52,445","52,013","55,061","53,813","59,717","55,903","49,340","52,257","55,717","54,762","59,378","60,328","60,434","59,899","60,485","58,359","62,443","59,881","60,833","63,483","65,902","63,942","62,595","59,147","58,817","60,799","60,722","63,928","63,010","64,879","63,350","61,899","61,953","61,523","60,709","59,023","58,126","55,682","53,107","51,637","48,063","45,291","42,395","42,339","40,266","37,914","37,179","24,727","19,074","23,113","19,408","19,277","21,759","21,031","19,593","15,605","12,601","12,381","13,457","11,424","10,054","9,013","7,837","7,181","6,493","5,505","4,687","3,628","459,715","277,290","174,659","93,448","41,663","14,169",44.4,0.5,10.7,77,127.2,89.1,61,35.7,26.6,17.6,12.4,3.9,40.8,1.7,22.3,103.8,105.3,44.3,19.5,11.7,5.4,2.8,1,0.1,6.8
2014,1.25,3.3,19.5,71.1,99.3,48.3,8.3,0.3,1.13,1.73,1.13,0.61,0.6,9.8,42232,37967,99.483,92.059,98.468,113.517,96.275,93.599,93.64,101.073,101.431,98.876,103.285,101.426,96.255,86.422,98.327,100.754,93.399,98.66,95.875,95.566,1422700,118600,147600,148700,158300,154000,468700,4400,9200,12600,23100,35000,285500,11100,14800,20000,30500,41100,107800,8400,10300,10000,15200,15200,198200,27600,35100,35600,32700,24400,362400,67100,78200,70500,56900,38300,"3,870,739","32,782","37,271","37,098","35,890","38,328","40,150","42,433","41,285","41,068","40,854","40,388","42,391","43,009","47,955","47,053","45,629","48,993","49,904","51,112","51,699","52,952","52,494","51,746","54,216","52,510","58,016","54,201","47,884","50,876","54,682","53,933","58,699","59,815","60,177","59,663","60,336","58,331","62,419","59,931","61,012","63,618","66,062","64,184","62,811","59,348","59,055","60,973","60,959","64,217","63,329","65,309","63,745","62,247","62,305","61,897","61,067","59,397","58,443","56,007","53,478","52,011","48,388","45,622","42,734","42,747","40,723","38,370","37,661","25,067","19,377","23,491","19,787","19,663","22,290","21,584","20,177","16,085","13,037","12,927","14,068","11,985","10,648","9,569","8,401","7,815","7,045","5,999","5,161","4,037","3,244","431,601","270,403","163,588","87,294","38,876","13,390",40.5,0.6,10.9,71.5,109.9,86.2,56,36,26.8,16.1,11.9,4.1,36.9,2.2,21.3,97.4,89.2,44.6,19.4,10.2,5.2,2.7,0.9,0.2,6.3
2013,1.19,3.8,19.7,70.5,90.2,44.7,8,0.3,1.05,1.66,1.11,0.57,0.57,9.3,39720,35681,98.474,89.456,99.267,113.388,94.608,91.633,91.117,102.32,103.486,96.902,102.122,101.619,94.593,83.568,97.168,101.097,88.162,98.529,94.717,94.421,1391400,118100,145700,156100,162800,159600,472700,5900,7900,16100,25700,42700,280600,11600,17800,22200,34800,45700,104700,9300,8800,10400,17200,14600,183400,27400,32100,35200,30800,22800,350000,63900,79100,72200,54400,33800,"3,844,751","33,912","36,304","35,313","37,847","39,919","42,183","41,212","41,077","40,844","40,388","42,524","43,040","48,016","47,098","45,566","49,127","50,002","51,158","51,752","53,027","52,605","51,844","54,011","51,785","56,644","52,790","46,571","49,624","53,515","53,115","57,984","59,374","59,911","59,393","60,208","58,299","62,510","59,994","61,035","63,665","66,265","64,422","62,993","59,603","59,298","61,310","61,196","64,553","63,652","65,625","64,122","62,637","62,603","62,277","61,349","59,712","58,824","56,314","53,863","52,356","48,778","46,040","43,055","43,126","41,155","38,787","38,130","25,412","19,630","23,858","20,129","20,068","22,763","22,093","20,693","16,545","13,452","13,379","14,676","12,567","11,196","10,140","8,940","8,346","7,577","6,498","5,654","4,434","3,601","3,048","404,437","258,620","152,874","82,255","36,056","12,821",43.8,0.6,12.2,77.8,117.8,96.5,65.2,39.8,27,21,15.6,5.1,39.4,2.3,24.4,106.7,96.2,43.2,21,10.5,5.7,2.7,1.3,0.2,6.7
2012,1.29,4.3,22.2,76.7,99.5,46.3,8,0.3,1.18,1.69,1.15,0.62,0.62,10.1,42663,38641,96.205,87.608,98.948,110.25,90.192,85.915,87.786,100.017,100.734,96.549,98.958,103.061,93.536,80.478,95.396,99.976,87.733,98.739,92.995,92.662,1367300,115800,145200,159400,162900,161400,480100,5200,8800,19400,26600,46100,281900,12300,18200,25300,39600,48700,107300,9600,9600,12700,16900,17600,177300,28500,33100,33300,29400,20500,320700,60200,75400,68700,50500,28600,"3,818,205","33,237","34,602","37,217","39,509","42,108","41,166","41,091","41,011","40,457","42,599","43,157","48,131","47,236","45,670","49,126","50,184","51,307","51,830","52,994","52,546","51,894","54,074","51,321","55,756","51,461","45,178","48,298","52,070","52,080","56,956","58,654","59,450","59,146","59,863","58,283","62,454","60,061","61,185","63,813","66,457","64,578","63,171","59,858","59,601","61,615","61,505","64,870","64,046","66,015","64,489","63,029","63,020","62,595","61,742","59,990","59,203","56,643","54,217","52,675","49,079","46,381","43,389","43,497","41,541","39,188","38,555","25,702","19,924","24,208","20,490","20,417","23,246","22,584","21,200","16,967","13,855","13,848","15,218","13,081","11,673","10,645","9,478","8,888","8,113","6,991","6,144","4,891","4,013","3,436","3,019","378,636","249,757","145,343","77,668","33,553","12,050",43.5,0.7,11.1,79.6,117.9,89.2,58.5,41.2,30.1,23.3,17.5,4.2,39.2,2.4,23.5,108,96,42.4,20.7,10.2,6.1,2.3,1.3,0.1,6.7
