Data Series,TotalFertilityRate(PerFemale),15to19Years(PerThousandFemales),20to24Years(PerThousandFemales),25to29Years(PerThousandFemales),30to34Years(PerThousandFemales),35to39Years(PerThousandFemales),40to44Years(PerThousandFemales),45to49Years(PerThousandFemales),Chinese(PerFemale),Malays(PerFemale),Indians(PerFemale),GrossReproductionRate(PerFemale),NetReproductionRate(PerFemale),CrudeBirthRate(PerThousandResidents),TotalLivetoBirths(Number),ResidentLivetoBirths(Number),AllItems,Food,Clothing&Footwear,Housing&Utilities,HouseholdDurables&Services,HouseholdServices&Supplies,HealthCare,Transport,PrivateTransport,PublicTransport,OtherTransportServices,Communication,Recreation&Culture,Education,MiscellaneousGoods&Services,PersonalCare,AlcoholicDrinks&Tobacco,PersonalEffects,AllItemsLessImputedRentalsOnOwnertoOccupiedAccommodation,AllItemsLessAccommodation,TotalFemales,25to29Years,30to34Years,35to39Years,40to44Years,45to49Years,TotalFemalestoBelowSecondary,B.Secto25to29Years,B.Secto30to34Years,B.Secto35to39Years,B.Secto40to44Years,B.Secto45to49Years,TotalFemalestoSecondary,Sec25to29Years,Sec30to34Years,Sec35to39Years,Sec40to44Years,Sec45to49Years,TotalFemalestoPostSecondary(NontoTertiary),P.Sec25to29Years,P.Sec30to34Years,P.Sec35to39Years,P.Sec40to44Years,P.Sec45to49Years,TotalFemalestoDiploma&ProfessionalQualification,Diploma25to29Years,Diploma30to34Years,Diploma35to39Years,Diploma40to44Years,Diploma45to49Years,TotalFemalestoUniversity,University25to29Years,University30to34Years,University35to39Years,University40to44Years,University45to49Years,SingaporeResidents,0Year,1Year,2Year,3Year,4Year,5Year,6Year,7Year,8Year,9Year,10Year,11Year,12Year,13Year,14Year,15Year,16Year,17Year,18Year,19Year,20Year,21Year,22Year,23Year,24Year,25Year,26Year,27Year,28Year,29Year,30Year,31Year,32Year,33Year,34Year,35Year,36Year,37Year,38Year,39Year,40Year,41Year,42Year,43Year,44Year,45Year,46Year,47Year,48Year,49Year,50Year,51Year,52Year,53Year,54Year,55Year,56Year,57Year,58Year,59Year,60Year,61Year,62Year,63Year,64Year,65Year,66Year,67Year,68Year,69Year,70Year,71Year,72Year,73Year,74Year,75Year,76Year,77Year,78Year,79Year,80Year,81Year,82Year,83Year,84Year,85Year,86Year,87Year,88Year,89Year,65Years&Over,70Years&Over,75Years&Over,80Years&Over,85Years&Over,90Years&Over,MaleGeneralMarriageRate(Per1000UnmarriedResidentMalesOrFemalesAged15to49Years),15to19Years(Per1000UnmarriedResidentMales),20to24Years(Per1000UnmarriedResidentMales),25to29Years(Per1000UnmarriedResidentMales),30to34Years(Per1000UnmarriedResidentMales),35to39Years(Per1000UnmarriedResidentMales),40to44Years(Per1000UnmarriedResidentMales),45to49Years(Per1000UnmarriedResidentMales),50to54Years(Per1000UnmarriedResidentMales),55to59Years(Per1000UnmarriedResidentMales),60to64Years(Per1000UnmarriedResidentMales),65Years&Over(Per1000UnmarriedResidentMales),FemaleGeneralMarriageRate(Per1000UnmarriedResidentMalesOrFemalesAged15to49Years),15to19Years(Per1000UnmarriedResidentFemales),20to24Years(Per1000UnmarriedResidentFemales),25to29Years(Per1000UnmarriedResidentFemales),30to34Years(Per1000UnmarriedResidentFemales),35to39Years(Per1000UnmarriedResidentFemales),40to44Years(Per1000UnmarriedResidentFemales),45to49Years(Per1000UnmarriedResidentFemales),50to54Years(Per1000UnmarriedResidentFemales),55to59Years(Per1000UnmarriedResidentFemales),60to64Years(Per1000UnmarriedResidentFemales),65Years&Over(Per1000UnmarriedResidentFemales),CrudeMarriageRate(Per1000Residents)
1989,1.75,7.2,59.7,129.7,104.5,42.1,7.6,0.2,1.56,2.62,1.92,0.85,0.83,17.5,47669,46361,60.65,58.039,85.249,57.913,73.265,na,45.163,55.494,na,na,na,122.449,78.596,31.843,52.867,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,0.8,38.8,112.1,111.7,77.1,59.5,32.5,24.6,13.9,12.9,2.2,65.3,10.8,94.6,130.2,76.7,38.1,20.7,7.9,3.6,1.2,0.6,0.2,9.3
1988,1.96,7.3,65,147.5,118.9,44.9,7.4,0,1.84,2.51,1.89,0.95,0.93,19.8,52957,51537,59.29,57.382,83.712,56.9,72.102,na,44.16,52.737,na,na,na,116.846,76.565,30.216,51.188,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.3,1,37.9,104.1,107.8,87.7,61.1,45.9,31,13.2,9.3,2.6,62.3,11.9,87.9,124.3,74.3,37.8,19.3,9.2,2.8,0.9,0.8,0.1,8.9
1987,1.62,7.7,59.7,124.8,92.5,33.5,5.9,0.2,1.46,2.34,1.76,0.78,0.77,16.6,43616,42362,58.401,56.595,80.951,56.905,71.2,na,43.247,52.2,na,na,na,116.846,74.461,28.268,50.329,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6,1,35.8,87.3,92.5,70.4,60.6,37.7,21.1,20.1,10.2,2.2,52.6,12.4,77.5,94.1,59.2,31.9,17.3,9.3,3.7,0.9,0.4,0.1,7.7
1986,1.43,8.6,60.4,110.1,74.4,28.4,4.7,0.2,1.25,2.22,1.73,0.69,0.68,14.8,38379,37159,58.12,56.684,80.644,57.788,70.768,na,42.755,51.612,na,na,na,116.512,73.6,27.459,47.754,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3,1.2,43.8,110.3,109.8,83.2,54.5,45.8,17.3,12.4,9,2.1,62.5,15.2,95.5,111.8,62.6,33.4,18.5,7.2,3.3,1.1,0.2,0.1,9.2
1985,1.61,9.6,68,123.9,85.6,31.1,4.5,0.2,1.46,2.28,1.79,0.78,0.76,16.6,42484,41100,58.933,57.541,82.532,59.136,70.68,na,42.909,53.6,na,na,na,122.184,72.897,25.647,47.563,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.7,1.5,44.7,122.2,130.7,103.3,65.1,48.3,26.6,17,11.7,1.9,66.3,15.6,101.6,124.3,68.1,41.3,16.7,8.4,2.8,1.2,0.6,0.1,9.8
1984,1.62,10.3,68.6,124.2,83,32.1,4.9,0.2,1.46,2.27,1.84,0.77,0.76,16.5,41556,40200,58.645,58.227,84.674,57.137,70.492,na,42.312,50.863,na,na,na,139.199,72.938,24.83,46.786,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9,1.4,38.8,104.9,112.1,84.8,59.4,46,24.1,15.4,4.1,na,56.4,15.7,85.1,104.5,63.6,36.8,19.1,9.6,3.3,1.5,0.2,na,9
1983,1.61,10.4,72.4,125.5,79.9,29.5,3.9,0.2,1.47,2.21,1.83,0.77,0.76,16.3,40585,39300,57.157,57.352,85.02,55.202,70.402,na,37.824,48.739,na,na,na,139.199,72.242,23.578,43.427,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.5,1.6,46,126.3,131.2,122.2,87.3,58.9,31.1,28.7,5.8,na,63.9,17.2,100.4,119.5,75.9,47.8,23.7,11.3,3,1.9,0.3,na,9.7
1982,1.74,11.4,80.2,136.4,84.5,31,4.9,0.3,1.62,2.27,1.93,0.83,0.82,17.5,42654,41300,56.57,57.247,85.067,54.741,69.64,na,35.044,48.178,na,na,na,139.199,72.079,22.9,41.335,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.4,1.6,51.8,138,143.8,123.3,94.6,60.4,38.8,34.2,6.7,na,68.7,17.8,109.5,139.7,77.7,50.1,26.2,14.4,3.8,3.2,0.2,na,10.6
1981,1.78,11.8,84.2,141.2,84.2,29.3,5.5,0.4,1.67,2.25,1.97,0.86,0.84,17.6,42250,41000,54.437,54.563,84.703,52.79,68.291,na,33.277,46.887,na,na,na,139.199,71.243,22.489,39.245,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9,1.7,49.9,140.1,138,106.3,62.8,42.3,25.8,18.6,4.7,na,67.3,18.4,110.5,136.5,74.3,43.6,22,9.2,2.6,2.1,0.3,na,9.8
1980,1.82,12.7,84.9,144.5,87.8,28,5.8,0.5,1.73,2.2,2.03,0.88,0.86,17.6,41217,40100,50.317,49.687,83.202,50.156,65.815,na,31.315,42.146,na,na,na,139.199,65.411,21.133,36.505,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,1.79,11.4,85.1,139.3,88.4,27.5,5.5,na,1.77,1.84,1.88,0.85,0.82,17.1,40779,na,46.358,45.815,81.671,44.134,62.184,na,29.245,36.872,na,na,na,139.199,63.459,19.506,33.59,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,1.79,11.8,86.8,140.9,86.8,26.7,5.3,na,1.78,1.83,1.79,0.87,0.84,16.8,39441,na,44.573,44.696,78.886,41.998,59.579,na,28.204,33.54,na,na,na,137.824,60.518,18.685,33.142,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,1.82,13.4,90.3,138.9,85.2,28.7,6.9,na,1.81,1.87,1.7,0.88,0.85,16.5,38364,na,42.831,42.295,77.418,42.009,58.486,na,27.051,31.851,na,na,na,133.733,56.399,17.751,32.032,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,2.11,16.2,107.2,160.2,95.9,33.8,8.1,na,2.15,1.93,1.84,1.02,0.98,18.7,42783,na,41.508,40.275,76.288,41.541,57.343,na,26.625,31.662,na,na,na,133.733,56.407,17.418,31.313,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,2.07,16.8,102.1,154.5,94.9,36.3,10,na,2.06,2.12,1.95,1,0.97,17.7,39948,na,42.311,42.929,75.768,38.923,57.854,na,25.926,30.354,na,na,na,133.733,56.304,17.269,30.596,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,2.35,20.8,118.9,172.2,102.9,42.6,12.7,na,2.33,2.46,2.3,1.13,1.09,19.4,43268,na,41.247,42.481,76.778,36.361,55.399,na,24.341,29.12,na,na,na,133.733,55.754,16.919,28.354,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,2.79,24.2,130.5,199.5,128.4,57.6,17.4,na,2.79,2.88,2.61,1.35,1.3,22,48269,na,33.708,33.829,69.726,31.854,44.184,na,20.739,20.742,na,na,na,133.733,51.544,16.152,24.676,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,3.04,25.3,137.4,218,139.2,66.1,20.9,na,3,3.26,3.08,1.47,1.42,23.1,49678,na,28.18,25.286,59.849,30.791,38.773,na,20.167,20.655,na,na,na,133.733,50.616,15.692,22.362,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,3.02,25.6,138.3,212.6,137.6,68.5,21.9,na,2.98,3.25,3.14,1.46,1.41,22.3,47088,na,27.589,24.681,58.774,30.312,38.384,na,20.417,20.648,na,na,na,133.733,50.421,15.632,21.607,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,3.07,25.9,139,208.8,138,74.5,26.7,na,3,3.45,3.15,1.49,1.42,22.1,45934,na,27.079,24.129,57.222,29.648,38.014,na,20.454,20.652,na,na,na,133.733,49.124,15.82,21.47,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,3.22,27.1,150.1,227.8,134.3,75.2,29.4,na,3.05,3.78,4.58,1.56,1.43,21.8,44562,na,26.989,24.25,56.929,29.432,37.335,na,20.454,20.675,na,na,na,133.733,49.124,15.499,20.683,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,3.53,30.9,165.8,236.6,152,85.2,35.3,na,3.29,4.52,4.77,1.72,1.58,23.5,47241,na,27.058,24.725,55.737,28.789,37.507,na,18.881,20.632,na,na,na,133.733,49.124,15.179,19.993,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,3.91,35.8,195.8,244.7,166.7,95.9,42.9,na,3.59,5.29,5.62,1.91,1.75,25.6,50560,na,26.874,24.68,55.424,28.445,36.767,na,18.604,20.632,na,na,na,133.733,49.124,15.42,19.29,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,4.46,33,218.5,261.2,202,124.8,51.7,na,4.08,6.14,6.61,2.17,1.97,28.3,54680,na,26.028,23.565,55.315,27.748,34.577,na,18.604,20.612,na,na,na,133.733,49.124,15.701,19.204,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,4.66,35.9,227.1,259.5,216.2,138.1,54.9,na,4.31,6.31,6.69,2.27,2.08,29.5,55725,na,25.513,22.926,54.39,27.908,32.343,na,18.604,20.608,na,na,na,133.733,49.124,15.218,18.91,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,4.97,38.3,240,277.6,226.7,147.7,62.8,na,4.6,6.78,7.06,2.42,2.22,31.6,58217,na,25.448,23.034,53.723,27.401,31.574,na,18.604,20.608,na,na,na,96.585,49.124,15.578,18.586,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,5.16,45.7,249,287.2,228.7,156.1,64.9,na,4.83,6.75,6.9,2.51,2.3,33.2,59530,na,25.033,22.468,53.415,26.907,31.498,na,18.604,20.539,na,na,na,89.155,49.077,15.412,18.823,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,5.21,52,245.5,291.7,231.5,156.2,65.1,na,4.92,6.63,6.96,2.53,2.31,33.7,58977,na,24.513,21.674,53.59,26.849,32.154,na,18.612,20.522,na,na,na,89.155,49.124,14.93,18.826,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,5.41,63.4,241.1,304.9,238.4,168.9,64.8,na,5.2,6.42,6.96,2.63,2.41,35.2,59930,na,24.401,21.522,53.847,26.688,32.11,na,18.604,20.537,na,na,na,89.155,49.124,14.874,18.833,na,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,